tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,zHlJvfxDfDE32_5W06B6WjXzSchiDVXv0owp_wLZx8usBA,JustLikeThatKR,587,362,326,True,False,False,False
GRANDMASTER,1l1JZxJxkEBUJKCjFmSQ2FTgpStwxm6IAyTvRA9qvZGBsxg,kua yy ,587,316,236,False,False,False,False
GRANDMASTER,VVZd4CDiptUZRZLmn2zXFJXizK-1iueTYuyzCVDFfrcVfx0,햄 맛,587,280,182,False,False,False,False
GRANDMASTER,k544iJxEE5JTabq0qnlaIU3UCJw4bRaS7dfB3VfNMcoDvCQ,JingDeZhenY4,585,503,447,True,False,False,False
GRANDMASTER,TfiRBTTa5A888Zk5ApWaf5GIDXUVzHKCCUfx4BHvoSii7qI,강주연,585,457,399,True,False,False,False
GRANDMASTER,eSk8MiyzEB8ox20C-mysyxEhKCC_ApiRkrJGtnEsema2d_8,ji3cl3x04,585,1205,1165,True,False,True,False
GRANDMASTER,TyliBv2we-Puay_DpSgwhPpQsf8eF-AwWWObvSyODSDCRA,바밤바밤바밤빵,585,208,194,True,False,False,True
GRANDMASTER,hkg5y2N6hypRnAcjYkplGdubDUkrpaLKN_NYDcSX9r3it8Q,Kisai sama,585,589,550,True,False,False,False
GRANDMASTER,m6-VsGJuu66uxHB0ip2_2yyq5FsX1UcIOr7kl54mgBsLfM4,금똥왁왁,584,230,197,False,False,False,False
GRANDMASTER,IiKPgDcRZD205pJNQla1BFMEanQ9EX8TMIStq2KzIuE0Qv4,gmjd,584,630,595,True,False,False,False
GRANDMASTER,xc4TUpRKLISxjBdjmeL6ykzArJnc6wStvVmSid5aj0JeXgw,홍 쭈,584,350,312,False,False,False,False
GRANDMASTER,W9tupt5hwawj3B5j71PSvC4I8FSpz1R20OHFG9MGZtSM05c,북쪽의 괴물,583,1492,1511,False,False,True,False
GRANDMASTER,DGT48dk13FufvCIJkQPtWhoc3P3BNYObVgokOQx9d7RZMJs,SKT T1 Gori,583,280,248,False,False,False,False
GRANDMASTER,omhMf6NYsVPQf6trbmFlt5q10mlcMDqbn4UAUkuHUDXOMAc,야둥둥,582,323,302,True,False,False,False
GRANDMASTER,EawlxlXz69nrpX5vOszfWetCvzX10Sc70Y_FXC6Z_u2ZaLU,Yenoh4,581,681,646,True,False,False,True
GRANDMASTER,ic6a_GIhI72Wt2gAtO8wBplKgmX_Ra9uiq1nQM7Ma-_0_j0,Psych0pomP,580,619,548,True,False,False,False
GRANDMASTER,bSf0bRQ9TzGpKL8wJOO1IgIJV4h_773F5saetOojaexp6w,FW luckgame9,579,835,756,False,False,False,True
GRANDMASTER,uDVeXGlLezPUBdCF615RTKccmghzGuz6uOw6Ppsj9YjA6KI,룬레이광팬 애디,578,982,947,False,False,False,False
GRANDMASTER,4WbCA8jsmm6uSkiEbH2mXOvBnHBTvp2EUF6e8RnLPURw8b4,asdf숫자,578,989,968,False,False,True,True
GRANDMASTER,EnRzltczT8szVLpfBwC3WDbprT0dwKluZ0xtfmklm_55NQ,모 모,577,355,318,False,False,False,True
GRANDMASTER,z7n77978BQbYbxOPVGCvskUBKtzgFEhM2ehvfVP8Lta7Tn0,Ada escape,576,226,145,False,False,False,True
GRANDMASTER,jL-FOiJaUbQ0oPd1zEVzPACGixr2G2FyALCAXoTgrfkU6D8,dududududud,576,193,100,False,False,False,False
GRANDMASTER,vxazK58yWnoZM44RhK_SSf4Zb70Tka8KpgXzkEFFr8QQAvE,spurgt,573,139,101,False,False,True,True
GRANDMASTER,CN0M2qwNp6Lbqhr4imvGYtx9IWkNcBH4O2HLQpHVVn0UpTM,pleaseletmeadc,572,123,88,False,False,True,True
GRANDMASTER,PYjMkVYHhy8dTgDYTSF1USx0SCOuuLifSS8fxwESsHbLfg,슈렐리아의사정,572,91,78,False,False,False,False
GRANDMASTER,VHUcKfaxmmuEhwDGVBYcCNAY4wZeosG2B-UgYUn2Da5Q7WM,느 그 갱,572,171,81,True,False,False,False
GRANDMASTER,vP5Nxtobhuh2rwQr7GPagmuKgWhmc2gMM_e4PCLI3tEyZUU,ArtGangg,571,733,738,True,False,False,False
GRANDMASTER,hhBcqMKMQWmYi6h8UOBkytp68ldGVrdyatPnU5L-OCsz4S8,연패 후 연승,570,527,420,True,False,False,True
GRANDMASTER,FFJLx-lF_uwNMxZBrQbpSNJ1UUi3gr2B6Bq1OFISR0URa0c,정훈이는 못말려,569,183,83,False,False,False,False
GRANDMASTER,NxCpHwUuf-pKggfnolb2BxO2dS1ejFJdhL98hQsH7_M893s,Top op line,569,539,476,False,False,False,False
GRANDMASTER,k8xRjieiAvwzIm47lE7GI8HL6E2HpTwpjkl9zgEUwGHzRnU,Dont ping friend,569,1010,958,True,False,False,True
GRANDMASTER,kDcSFq8vG3JxoMHVGEc-GG_AX7mhIcgH7wfdPImFdPx6bLA,자꾸 생각나,569,648,629,True,False,False,False
GRANDMASTER,WMsQnD5VPFK1lA91lybUd97B8vrEL-KWktvQOkOPeA2C4OQ,Nasub,568,271,181,False,False,False,False
GRANDMASTER,fv87KLeChKbhoaqiEEqkGTIRHAPmsTIbMS7vq9F851ayADU,주먹밥쿵야1,567,342,317,True,False,False,False
GRANDMASTER,to2iBJ8q8GOF0vjbcxzRzFf-Y62r9iQ8iuJDWtZqUMhx0Oc,우싹씨,567,462,315,True,False,False,False
GRANDMASTER,2cyDBpmO8LoR4nBaF4RLpCghzGLvqBgmYFmcoCPZsXVK9jc,bietaiyayii,567,295,196,False,False,False,True
GRANDMASTER,PR2h1Upu5D-ztW6Qrzk2qXfhqLsGrV1ry9Oh0Ycq-4Tp5JA,몰래키운아이디,566,198,130,True,False,False,False
GRANDMASTER,053vAJrWPvMyAAOM_J25Hbw13psACAsb8qxifHttgZze5uI,강력 처벌,566,412,302,True,False,False,False
GRANDMASTER,v0nGOfmz8L0PNigwaxxLqVT6JKdgtAx3MwETF5uv0xRMcoQ,DWG A 홍삼,565,653,626,True,False,False,False
GRANDMASTER,Stu1T9GTVWXXDDE7uF1HTjfFRLATVdSDp2nddlh7KEF22rY,Elin9,565,334,245,True,False,False,False
GRANDMASTER,v1yi-IzbrZ-igrlIbIOm-9TEiTaqUOPUrtbyeCOcMFDEDT0,김머딩,565,149,84,False,False,False,False
GRANDMASTER,aDwS9UTyAc_hfGiFmJXaCKphJYeY65uB2aSfhMOag7CsbU0,가위바위보라돌이,564,229,194,True,False,False,False
GRANDMASTER,C9zyK8p-iLCL9eqmKECKIWAoXCaifAv0XGbu4ZAVwrNQDnk,Natuday,563,996,953,False,False,True,True
GRANDMASTER,RtKUrHo_YQnzazRzGj4qbzR2KxpxnCvgu2QNaUN4ouTLWwg,MaKAh,563,381,370,False,False,False,False
GRANDMASTER,ugXGdof4nNHJxknmblIU66MwMj99PkLivPp102QyH82KT1E,그저 꿈이라도,562,1625,1652,True,False,False,False
GRANDMASTER,4SZgGtb05I-Iau7mbW2Bzol0zcQDCw05nPjkJwzpQPl06ag,피카츄I,561,1101,1090,False,False,False,False
GRANDMASTER,d_q3-DO2DjPe0XBBi4E3dyWnd9vnoB_sxw9voKQD03CgX8A,bu bai gei,561,692,583,True,False,False,False
GRANDMASTER,hYQDK0XJ4eKWy31ag75r8zhIpK3ofVK3nqdctBCU-ly9Bxw,Last Summer,560,329,310,False,False,False,False
GRANDMASTER,Kt3fGhiKypZT8HXtj7eia4nLUFwPF_aSEH7VRTDMXUa_3hY,Hit Boxer,560,338,327,True,False,False,False
GRANDMASTER,BxMncWDqsxcYPSCZAVp2AokFVB4SYMC1zH3pRWZ-57FBOow,별 하늘cc,560,555,460,True,False,False,False
GRANDMASTER,kpN418fj2c5Y5jEj_574V65dt8sqIdEZN8NbbW1VFsTLwJo,xmcjfuqicka,559,991,907,False,False,True,False
GRANDMASTER,1_z83HzrsAq-ApERPRRM12saw6Kf4EsGxeI2viXzIL6tMIQ,두더지형님,559,1401,1363,True,False,False,False
GRANDMASTER,V12kinekWe_BLtJf73XMUmI1NLYxnBTvSa27GEtWsScTky0,Beyond184,557,91,75,False,False,True,False
GRANDMASTER,CNA4K6z6bzQrRxTro5x8Y_gkMr47PYt-rZK5TExUYEZ0oEI,sglmyd,557,503,410,False,False,False,False
GRANDMASTER,NtUtn1X2D0BxaeoohLrrVuq27GvQ2EFpzcoGb9yjM07ZXA,hoseng,557,366,327,False,False,False,True
GRANDMASTER,3qgfpBgHoo4UR76hEnYkGNa0voW642deSdKoyGcbLjYoW_M, maoxiandao,556,639,585,False,False,True,False
GRANDMASTER,-hRTnsUAXRBu8SN69AMEi9f2RaMXitv1ouKYZegF_L4sT6s,Brilliant World,556,240,154,False,False,False,False
GRANDMASTER,HQBcgQmf2S3FAaiTTo2hccN3eVswmYXzRJZ99FRmN5_q7yI,esp of 991,555,453,413,False,False,False,False
GRANDMASTER,5CnzzsbCT3oc1o4ijGML4mLfqyGIYWPpKCmEmC_PVDgGwMY,파이팅 해야죠,555,1246,1234,False,False,True,False
GRANDMASTER,lyZYbeUKQnKIT-3ELTSXmCX0gsuveaQy9fwYMeQh6dc8OA,두근두근하트비트,554,868,831,True,False,False,False
GRANDMASTER,aAGeB7rpEWtkrpS8dldQ60PtapFKo1T-RtXCpqnswTi0RQ8,4금빛섬광,554,253,191,True,False,False,False
GRANDMASTER,eHvJaFxyJjZ8uQBlWAACW3nLa_REJbcmQUjYip3K_SkWiQQ,gori팬,554,461,356,True,False,False,False
GRANDMASTER,bkpq4uGoIjcBZ8P35uC4X7T7VGTKqD0Y8NE_xA_wHM6-QQ,오르지 못할 나무,553,560,496,True,False,False,False
GRANDMASTER,21yjVA-z3Oir6ox-KfUouo1p0_BwZYiQVXQoYc5ytB7K6DA,감정 없는 킬러,552,506,431,True,False,False,False
GRANDMASTER,SdlYjakJ8Fs88FQzPrLvrWcRRrZDHBGauLWjxIaSI8bSVAQ,LeeYaGong,550,509,452,True,False,False,False
GRANDMASTER,F5Ybti6wL9WKj-vwJbiK5-9x9VOSt_xsIM4IdlRXqlpgrII,toptoptop19,549,501,407,True,False,False,False
GRANDMASTER,574molDSbUys8zSbcK8VudZNqGyMCzCwUeUESYNrCDJG0Zk,Shadow2015,549,319,220,False,False,True,True
GRANDMASTER,N5cRSyUcUzr89NYFykfkZgdFSE8D_LV80Fo2MkLe61uHcA0,BJ뽀삐에코워윅,548,622,559,True,False,False,False
GRANDMASTER,3WQ4g1etFhCce1o_9AnYy5JY8z-JPmZvwnUBICmwdu8DI2c,BEASTARS1,548,576,559,True,False,False,False
GRANDMASTER,GQIoKNN4k7AbrqoP4lTXrM57ouPQ9EQKu4S4dzTsa4xUmng,미음디귿치읓이응,548,664,651,True,False,False,False
GRANDMASTER,sKQMeq-ywElK54-uiN5yxqqp2gAu00b0mb8gnledLE_sDPE,직스 좀 믿어줘,548,577,532,True,False,False,False
GRANDMASTER,SPG86PMo1Wc_m4W0qCAbXRIZ4OoM63K6UHToip5XS5rIFxA,ChaeWon 00,547,364,286,False,False,False,True
GRANDMASTER,_ghBrgSS-Rb4wILEOrfUnHvYbVzjzrrWifJHoUiE3IYv1xs,Kofks,547,1206,1172,True,False,False,False
GRANDMASTER,QwlOSW-4-Aix9atyzi20X_25UyKKF28HKr9Rioy6XiH-ITg,스킬잘피하는사람,547,519,417,False,False,False,False
GRANDMASTER,pUSvNG5YkGCm5_uSZu8lYMrBip1tbhIkdMSPsS8Ci-a5Qg,쥐 드래곤,547,254,255,False,False,False,False
GRANDMASTER,8zygJhEBZRjXHpsx9p8CPo7wk5Y-zC-Kacgn7OEelVHpe2s,qweasfafewqrt,543,835,832,True,False,False,False
